CantidadNodos;CantidadEnlaces
68
121
Origen;Destino;Costo;Fibra;LDO
1;2;1;10;8
2;3;1;10;8
2;8;1;10;8
3;4;1;10;8
4;5;1;10;8
5;6;1;10;8
5;7;1;10;8
7;8;1;10;8
8;9;1;10;8
8;12;1;10;8
8;13;1;10;8
9;10;1;10;8
9;11;1;10;8
10;11;1;10;8
10;23;1;10;8
10;24;1;10;8
11;23;1;10;8
11;12;1;10;8
12;23;1;10;8
12;22;1;10;8
12;27;1;10;8
12;21;1;10;8
12;20;1;10;8
12;13;1;10;8
13;20;1;10;8
13;14;1;10;8
14;15;1;10;8
14;16;1;10;8
14;17;1;10;8
15;20;1;10;8
15;29;1;10;8
15;19;1;10;8
15;16;1;10;8
16;19;1;10;8
17;18;1;10;8
18;19;1;10;8
18;31;1;10;8
19;30;1;10;8
19;35;1;10;8
19;31;1;10;8
20;28;1;10;8
21;22;1;10;8
21;28;1;10;8
22;23;1;10;8
22;26;1;10;8
23;24;1;10;8
23;25;1;10;8
24;25;1;10;8
24;41;1;10;8
25;41;1;10;8
25;54;1;10;8
25;26;1;10;8
26;39;1;10;8
26;27;1;10;8
27;58;1;10;8
27;38;1;10;8
28;38;1;10;8
28;29;1;10;8
29;37;1;10;8
29;30;1;10;8
30;36;1;10;8
31;32;1;10;8
31;33;1;10;8
32;33;1;10;8
33;35;1;10;8
34;35;1;10;8
34;61;1;10;8
35;36;1;10;8
35;62;1;10;8
35;61;1;10;8
36;37;1;10;8
37;38;1;10;8
38;58;1;10;8
39;40;1;10;8
39;56;1;10;8
39;57;1;10;8
39;59;1;10;8
40;56;1;10;8
40;41;1;10;8
41;42;1;10;8
41;54;1;10;8
42;52;1;10;8
42;43;1;10;8
43;50;1;10;8
43;44;1;10;8
44;49;1;10;8
44;45;1;10;8
45;46;1;10;8
46;47;1;10;8
46;49;1;10;8
47;48;1;10;8
48;49;1;10;8
48;51;1;10;8
49;50;1;10;8
50;51;1;10;8
50;53;1;10;8
50;52;1;10;8
51;53;1;10;8
52;54;1;10;8
53;55;1;10;8
54;56;1;10;8
55;56;1;10;8
56;57;1;10;8
57;58;1;10;8
58;65;1;10;8
58;66;1;10;8
59;65;1;10;8
59;60;1;10;8
60;64;1;10;8
60;62;1;10;8
60;61;1;10;8
61;63;1;10;8
62;64;1;10;8
62;63;1;10;8
63;64;1;10;8
64;68;1;10;8
64;67;1;10;8
65;66;1;10;8
66;68;1;10;8
66;67;1;10;8
67;68;1;10;8
