"origen";"destino";"nivel"
3;14;0
8;15;0
5;13;0
2;10;0
6;13;0
5;15;0
3;15;0
4;13;0
10;8;0
11;2;0
7;2;0
14;7;0
12;9;0
4;11;0
6;11;0
7;15;0
10;5;0
12;10;0
10;14;0
8;9;0
2;6;0
4;3;0
7;10;0
6;9;0
3;15;0
5;14;0
9;7;0
12;2;0
14;6;0
6;5;0
7;9;0
8;12;0
4;11;0
12;5;0
3;15;0
4;13;0
8;15;0
11;2;0
9;14;0
13;9;0
4;9;0
13;11;0
13;12;0
3;5;0
9;8;0
10;8;0
13;8;0
9;13;0
10;6;0
13;4;0
3;2;0
10;11;0
14;8;0
3;14;0
10;10;0
6;9;0
7;7;0
8;13;0
12;11;0
3;11;0
6;11;0
6;13;0
2;4;0
6;5;0
12;4;0
4;3;0
3;4;0
10;5;0
10;6;0
14;13;0
12;12;0
3;10;0
5;14;0
11;12;0
6;3;0
11;12;0
5;5;0
9;6;0
11;9;0
5;9;0
14;3;0
11;11;0
13;9;0
4;12;0
7;7;0
12;9;0
6;14;0
6;8;0
12;8;0
4;11;0
