Corrida;Costo;Diferencia de Niveles;Ganancia de Niveles;Fallas Oro;Fallas Plata;Fallas Bronce
Segment_Best_10394;2,6;0;560,00;0-0;0-0;0
Segment_Best_10209;2,8000000000000003;0;660,00;0-0;0-0;0
Segment_Best_10210;2,7;0;540,00;0-0;0-0;0
Segment_Best_11031;2,8000000000000003;0;490,00;0-0;0-0;0
Segment_Best_9126;6,2;0;600,00;0-0;0-0;0
Segment_Best_12240;6,300000000000001;0;610,00;0-0;0-0;0
Segment_Best_11544;6,5;0;550,00;0-0;0-0;0
Segment_Best_11804;6,800000000000001;0;496,67;0-0;0-0;0
Segment_Best_11673;6,1000000000000005;0;565,00;0-0;0-0;0
Segment_Best_9662;7,7;0;540,00;0-0;0-0;0
Corrida;Costo;Diferencia de Niveles;Ganancia de Niveles;Fallas Oro;Fallas Plata;Fallas Bronce
Segment_Best_12715;8,0;0;590,00;0-0;0-0;0
Segment_Best_12180;7,800000000000001;0;520,00;0-0;0-0;0
Segment_Best_12527;8,0;0;367,78;0-0;0-0;0
Segment_Best_11862;8,3;0;438,89;0-0;0-0;0
Segment_Best_12592;5,300000000000001;0;1.220,00;0-0;0-0;0
Segment_Best_15011;5,4;0;1.230,00;0-0;0-0;0
Segment_Best_14134;5,4;0;1.130,00;0-0;0-0;0
Segment_Best_14007;5,300000000000001;0;1.040,00;0-0;0-0;0
Segment_Best_7147;12,4;0;1.143,33;0-0;0-0;0
Segment_Best_9671;12,5;0;1.160,00;0-0;0-0;0
Corrida;Costo;Diferencia de Niveles;Ganancia de Niveles;Fallas Oro;Fallas Plata;Fallas Bronce
Segment_Best_10403;12,3;0;916,67;0-0;0-0;0
Segment_Best_10623;12,600000000000001;0;983,33;0-0;0-0;0
Segment_Best_10287;13,0;0;915,00;0-0;0-0;0
Segment_Best_10371;13,4;0;990,00;0-0;0-0;0
Segment_Best_7090;15,4;0;1.116,67;0-0;0-0;0
Segment_Best_3593;22,0;0;913,19;0-0;0-0;0
Segment_Best_7407;15,8;0;1.055,56;0-0;0-0;0
Segment_Best_3299;23,8;0;731,79;0-0;0-0;0
Segment_Best_3019;24,900000000000002;0;918,69;0-0;0-0;0
Segment_Best_11901;7,9;0;1.800,00;0-0;0-0;0
Corrida;Costo;Diferencia de Niveles;Ganancia de Niveles;Fallas Oro;Fallas Plata;Fallas Bronce
Segment_Best_23680;8,0;0;1.930,00;0-0;0-0;0
